component_id,F_ref,F_pred,dF
1,1.06968454,1.0600627185666482,-0.009621821433351663
2,-0.17093621,-0.18976284293478463,-0.01882663293478462
3,-1.31024801,-1.3091504399215568,0.001097570078443244
4,-1.10078631,-1.0849018088127451,0.015884501187254818
5,0.14300358,0.14596321082515312,0.002959630825153131
6,-0.32291762,-0.3324555767373474,-0.009537956737347364
7,0.12428127,0.12468684497779847,0.00040557497779847296
8,-0.76503393,-0.7520118918671996,0.01302203813280034
9,0.43663323,0.4254842786985833,-0.011148951301416687
10,-0.36395221,-0.3583258047260358,0.005626405273964186
11,0.14492324,0.15078855561387616,0.005865315613876154
12,0.18501972,0.18315618082730167,-0.0018635391726983253
13,1.02776169,1.0161398122433223,-0.011621877756677668
14,-1.62312966,-1.6374207902209381,-0.014291130220938086
15,0.43360048,0.42966636786021617,-0.003934112139783841
16,1.05443091,1.0478538429201407,-0.006577067079859278
17,0.07033082,0.08586755981351601,0.015536739813516012
18,0.19266346,0.2080568721897027,0.015393412189702693
19,0.32902372,0.32967307135273316,0.0006493513527331407
20,0.42433374,0.41228873927588827,-0.012045000724111743
21,1.23007917,1.2231228684054503,-0.006956301594549741
22,0.20518152,0.21011491719636943,0.004933397196369427
23,0.85968461,0.8508490238016058,-0.008835586198394196
24,-0.94918637,-0.941113285804124,0.008073084195875935
25,-0.51878208,-0.5179692474676383,0.0008128325323617513
26,-0.82084475,-0.8042198235436979,0.01662492645630209
27,-0.42211067,-0.4164597415507303,0.005650928449269732
28,-0.33123733,-0.3196153651292395,0.011621964870760504
29,0.01014103,0.003080919030112872,-0.007060110969887129
30,-0.92221231,-0.9085269416100588,0.013685368389941277
31,-0.8521639,-0.8468068379925242,0.005357062007475766
32,-0.41075986,-0.410496096747329,0.0002637632526709677
33,0.06792863,0.06204679808045688,-0.005881831919543126
34,0.86391404,0.8552764698794117,-0.0086375701205883
35,-0.52191777,-0.503668769055022,0.018249000944977944
36,0.23694338,0.2472928426899177,0.010349462689917682
37,-0.00422213,-0.010722252463397197,-0.006500122463397197
38,0.51979319,0.5129631295690178,-0.006830060430982221
39,0.50017683,0.4810228777466232,-0.019153952253376794
40,0.02355714,0.021827123517018876,-0.0017300164829811247
41,0.66982704,0.6746238115087679,0.004796771508767894
42,0.95342919,0.9571347063221867,0.0037055163221866305
43,-1.023018,-1.0219433688712467,0.0010746311287532784
44,0.45229874,0.445206481203837,-0.007092258796162987
45,0.92541763,0.9259927991635495,0.0005751691635494938
46,-0.50367287,-0.5053501151906516,-0.0016772451906515995
47,1.0182862,1.0159487837271994,-0.0023374162728004855
48,-1.23521676,-1.2352706063601673,-5.384636016736444e-5
49,-0.48523899,-0.48887113055045006,-0.0036321405504500803
50,0.13092874,0.1274325363963631,-0.0034962036036368938
51,0.01088184,0.01958242616937289,0.00870058616937289
52,0.1024099,0.08324957322582804,-0.019160326774171954
53,1.27539261,1.2831844568726156,0.007791846872615693
54,-0.46356361,-0.4632016331706835,0.00036197682931649044
55,0.91696463,0.9102450823283448,-0.006719547671655168
56,-0.62614444,-0.6166053164143825,0.009539123585617482
57,1.16132959,1.1448101139070226,-0.016519476092977436
58,-0.74726816,-0.7497975390139047,-0.002529379013904709
59,0.26061172,0.2608301045172712,0.00021838451727118624
60,0.23849842,0.24795826131626614,0.009459841316266149
61,-0.19749772,-0.20802049329994965,-0.010522773299949661
62,-0.45337263,-0.4583235610007499,-0.004950931000749892
63,-1.1349033,-1.1459471283845382,-0.011043828384538212
64,0.78576446,0.794687704612409,0.00892324461240901
65,-0.11863045,-0.11279893320194212,0.005831516798057879
66,0.63429744,0.6348753989520386,0.0005779589520386041
67,-0.07679452,-0.07482752441147511,0.0019669955885248946
68,-0.43003805,-0.42144970249226965,0.008588347507730354
69,-0.09997769,-0.1014770643585825,-0.0014993743585825087
70,-0.00839702,-0.007387607560911391,0.0010094124390886087
71,-0.13303528,-0.13436815193653917,-0.001332871936539165
72,0.49149415,0.4887168578551053,-0.002777292144894694
73,-0.48265264,-0.47588424706121124,0.006768392938788781
74,0.07806486,0.07673417355119616,-0.001330686448803839
75,0.33737428,0.32595249325168574,-0.011421786748314289
76,-0.17453323,-0.16563559089436275,0.008897639105637262
77,0.95873883,0.9512485526458119,-0.007490277354188168
78,-1.02414491,-1.0114754839101598,0.012669426089840119
79,0.34641067,0.3593906378366718,0.012979967836671824
80,-1.25877689,-1.267276577562905,-0.008499687562904867
81,0.54528874,0.5421082824344756,-0.0031804575655244305
82,0.89603331,0.9035987585280285,0.00756544852802854
83,0.28830984,0.2929609612247099,0.004651121224709898
84,0.61711743,0.6295859084822015,0.012468478482201562
85,-0.51899787,-0.5267632642629128,-0.007765394262912784
86,-0.06164127,-0.06518661969951722,-0.003545349699517225
87,-0.67213198,-0.676875767492342,-0.004743787492342055
88,0.00947862,0.006936497410864106,-0.0025421225891358937
89,-0.10742136,-0.10548422406266544,0.0019371359373345498
90,0.51976558,0.528955080981842,0.009189500981842014
91,0.26740703,0.2608748507346359,-0.006532179265364091
92,-0.06675551,-0.08521309757522122,-0.018457587575221215
93,-0.29929476,-0.3009907716900071,-0.0016960116900071043
94,-0.63308845,-0.6217957076215992,0.011292742378400833
95,0.26376928,0.2743153987382143,0.010546118738214316
96,-0.86203123,-0.8625769743437034,-0.0005457443437033582
97,0.27250525,0.26444680199675474,-0.008058448003245233
98,-0.475784,-0.45383983563821984,0.02194416436178015
99,-1.04421534,-1.0462023851753859,-0.0019870451753858376
100,0.96172472,0.9641468967336042,0.002422176733604231
101,1.69191432,1.6857997586484919,-0.006114561351508119
102,-0.38758907,-0.4052775891562088,-0.017688519156208837
103,-1.25689285,-1.2699443780968362,-0.013051528096836185
104,0.52497058,0.5238011742939599,-0.001169405706040072
105,-0.36875822,-0.3695541786403149,-0.0007959586403148977
106,-0.69977233,-0.6974874107928155,0.0022849192071845437
107,0.64300412,0.6351444204845884,-0.007859699515411545
108,0.78315487,0.7981017674478006,0.014946897447800644
109,0.15773616,0.15857022623348094,0.0008340662334809512
110,-0.01536802,-0.006357122056107833,0.009010897943892166
111,1.13018505,1.1174506863581168,-0.012734363641883073
112,-0.1333867,-0.10578560082125144,0.02760109917874856
113,-1.08051297,-1.0798452906543425,0.0006676793456574792
114,0.02493338,0.026579626948406765,0.0016462469484067634
115,-0.97115258,-0.9629354884963099,0.0082170915036901
116,-0.76655359,-0.7639558448414214,0.0025977451585785793
117,-0.09606381,-0.0921262701295924,0.003937539870407597
118,0.97938922,0.9723203430611287,-0.00706887693887126
119,0.51958907,0.5015546167643508,-0.018034453235649228
120,-0.15460342,-0.14641692614510232,0.00818649385489767
121,0.48105321,0.47776888485197233,-0.003284325148027678
122,-0.16323396,-0.15909113429360877,0.00414282570639124
123,-0.02463759,-0.03755900017397229,-0.01292141017397229
124,0.26090608,0.2604598421035629,-0.0004462378964371072
125,0.6873387,0.6743316204844727,-0.013007079515527264
126,0.68786339,0.6859983767844886,-0.0018650132155113575
127,0.32811254,0.3316622393962163,0.0035496993962162993
128,-0.36181582,-0.3690518668033347,-0.0072360468033346725
129,-1.01448294,-1.0222201097173742,-0.007737169717374259
130,0.04048988,0.04342546211416831,0.0029355821141683128
131,0.08448556,0.08271096393072391,-0.0017745960692760882
132,0.08962289,0.09005085638627142,0.0004279663862714195
133,0.28381685,0.2724030772129833,-0.011413772787016718
134,-1.36804711,-1.3714519110720675,-0.0034048010720675315
135,0.20031987,0.20786160531208298,0.0075417353120829644
136,-1.17574727,-1.184379315489176,-0.008632045489175955
137,-0.15322062,-0.15668233969430978,-0.0034617196943097783
138,0.75511276,0.7740544013492674,0.018941641349267346
139,0.28477853,0.2773825195952728,-0.007396010404727149
140,0.09337387,0.0931597950018781,-0.00021407499812189923
141,0.45688069,0.451509050338891,-0.0053716396611089845
142,0.18643929,0.19794590039723126,0.011506610397231248
143,0.13985984,0.16377299544494361,0.0239131554449436
144,-1.03772253,-1.0322499117873716,0.005472618212628344
145,0.05413188,0.05461796217583981,0.0004860821758398068
146,0.29820467,0.30012937813930707,0.001924708139307063
147,0.87498266,0.8532221869793613,-0.02176047302063877
148,-0.19223355,-0.19686064273320625,-0.004627092733206245
149,0.72035511,0.7436219578853709,0.023266847885370923
