V_BCC,DeltaE_BCC,V_FCC,DeltaE_FCC
15.101423006761726,0.3833815788337951,14.948704649215996,0.5609191546095005
15.483280209924573,0.27780780967235685,15.32670018948404,0.44693158890903817
15.871520896710198,0.19283255906922037,15.711014658191296,0.3528116722038739
16.266197982205192,0.12591828596744037,16.101700435302252,0.2763652951164097
16.66736438149608,0.0748268086000401,16.498809900781342,0.2156321119839255
17.075073009669392,0.038066804989618674,16.902395434593032,0.16895367030637587
17.489376781811703,0.01417660119751929,17.31250941670176,0.13499862986754252
17.91032861300955,0.0018584447509333302,17.729204227072003,0.112736071474135
18.337981418349496,0.0,18.152532245668205,0.10135492917327227
18.772388112918087,0.007678142496057916,18.582545852454807,0.10013657136332554
19.213601611801863,0.02413800848070835,19.0192974273963,0.10829829865419427
19.661674830087374,0.04875161669032835,19.4628393504571,0.12483739221423562
20.116660682861156,0.08097175814306112,19.91322400160168,0.14841721557621312
20.578612085209798,0.12030602902592236,20.370503760794506,0.17734711906286904
21.04758195221982,0.16634111089895143,20.834731008000006,0.20971444154608676
