V_BCC,DeltaE_BCC,V_FCC,DeltaE_FCC
13.45576839515622,0.48970461848089997,13.793949735749992,0.49170198383340846
13.827225978119362,0.3775796968009075,14.174743093504368,0.38544638394209585
14.205457677452975,0.27528796514043563,14.562480820244165,0.29130988400861213
14.59052470505195,0.1846531250846084,14.95722566629154,0.21143079213952376
14.982488272811242,0.10909333073126959,15.359040381968656,0.1482811131269699
15.381409592625738,0.051789276626820424,15.767987717597661,0.10380881699676081
15.78734987639034,0.014819450632074904,16.184130423500736,0.07889515202525388
16.200370336000006,0.0,16.60753125,0.07315970829701257
16.62053218334961,0.008752180547958233,17.03825294741764,0.08509200093890001
17.047896630334076,0.039082708522698795,17.4763582660758,0.11244284421341888
17.482524888848324,0.08798611961415759,17.921909956296652,0.1527770388832863
17.924478170787264,0.15196375707014909,18.374970768402328,0.20407430765277468
18.373817688045808,0.22732564098002328,18.835603452715016,0.26526932260354386
18.830604652518865,0.3106565020604819,19.30387075955684,0.3366433596122107
19.294900276101387,0.39944797003782107,19.779835439250004,0.4200170206308904
