V_BCC,DeltaE_BCC,V_FCC,DeltaE_FCC
13.45576839515622,0.5258171454406693,13.793949735749992,1.0389384452664672
13.827225978119362,0.34814829823938,14.174743093504368,0.8744785157859951
14.205457677452975,0.23186621848788036,14.562480820244165,0.7349676926003212
14.59052470505195,0.1493214945278396,14.95722566629154,0.6262585528811542
14.982488272811242,0.08512087337010144,15.359040381968656,0.5497613637185168
15.381409592625738,0.03728696496034445,15.767987717597661,0.5035941012858984
15.78734987639034,0.009008211669083721,16.184130423500736,0.4838070756172783
16.200370336000006,0.0,16.60753125,0.48559679867912564
16.62053218334961,0.006069475741242059,17.03825294741764,0.5044105555477927
17.047896630334076,0.029232317799596785,17.4763582660758,0.5368297758698191
17.482524888848324,0.07105187053275586,17.921909956296652,0.5811153579794563
17.924478170787264,0.13121530828402683,18.374970768402328,0.6373131042066689
18.373817688045808,0.20833341151046625,18.835603452715016,0.7068649783406045
18.830604652518865,0.30042171623972536,19.30387075955684,0.7917636714315677
19.294900276101387,0.4053106946983007,19.779835439250004,0.89343286288522
