order,totaldegree,rcut,Lattice Constant
3,3,4.5,-3.108694452077725
3,3,7.5,-3.16934547396021
3,3,10.5,-3.1778388434477933
3,6,4.5,-3.185078095442106
3,6,7.5,-3.185251478089724
3,6,10.5,-3.185251478089724
3,9,4.5,-3.1904708390783534
3,9,7.5,-3.1904708390783534
3,9,10.5,-3.1904708390783534
3,12,4.5,-3.1904708390783534
3,12,7.5,-3.1904708390783534
3,12,10.5,-3.1904708390783534
4,3,4.5,-3.119284778984637
4,3,7.5,-3.1672646813915115
4,3,10.5,-3.1777311631523575
4,6,4.5,-3.1859879249226473
4,6,7.5,-3.1903833120728926
4,6,10.5,-3.1903833120728926
4,9,4.5,-3.1903833120728926
4,9,7.5,-3.1903833120728926
4,9,10.5,-3.1903833120728926
4,12,4.5,-3.1903833120728926
4,12,7.5,-3.1903833120728926
4,12,10.5,-3.1903833120728926
5,3,4.5,-3.11919960087739
5,3,7.5,-3.1672494707671586
5,3,10.5,-3.1777302959363154
5,6,4.5,-3.1864521823043934
5,6,7.5,-3.191309592761384
5,6,10.5,-3.191309592761384
5,9,4.5,-3.191309592761384
5,9,7.5,-3.191309592761384
5,9,10.5,-3.191309592761384
5,12,4.5,-3.191309592761384
5,12,7.5,-3.191309592761384
5,12,10.5,-3.191309592761384
6,3,4.5,-3.1201010480566915
6,3,7.5,-3.167409142792813
6,3,10.5,-3.1777393423316287
6,6,4.5,-3.186282893211876
6,6,7.5,-3.191408033685361
6,6,10.5,-3.191408033685361
6,9,4.5,-3.191408033685361
6,9,7.5,-3.191408033685361
6,9,10.5,-3.191408033685361
6,12,4.5,-3.191408033685361
6,12,7.5,-3.191408033685361
6,12,10.5,-3.191408033685361
