order,totaldegree,rcut,C11,C12,C44
3,3,4.5,4.714493003327713,38.85261323586475,46.268946575454436
3,3,7.5,235.19606202292434,240.42890072795691,0.38560484088340874
3,3,10.5,243.14649201560482,239.45774358392146,-2.6526799916481756
3,6,4.5,239.68996606122852,233.40918375260853,83.62607100339139
3,6,7.5,273.6472687947906,256.6613897289046,21.868555120965226
3,6,10.5,264.3053831967598,271.5270321749795,46.4812383177186
3,9,4.5,287.5731504254012,231.90664462613822,32.00566334457349
3,9,7.5,327.8980118306711,236.38011814461274,65.08658171040028
3,9,10.5,340.9098056406843,238.87820848359416,87.78527190558898
3,12,4.5,357.6954830583843,197.08162436569694,76.5144227308951
3,12,7.5,313.6373778853364,233.95911723564797,95.3012815158771
3,12,10.5,330.86073611607236,219.2651022913539,94.3674830876002
4,3,4.5,4.714493003543196,38.85261323500221,46.26894657222038
4,3,7.5,235.19606202130748,240.42890072930462,0.38560484220398294
4,3,10.5,243.14649201560488,239.45774358149595,-2.652679993426908
4,6,4.5,235.5130321146324,229.75223562141713,87.21098287439023
4,6,7.5,285.2626079415621,277.7022436646389,15.878661911427184
4,6,10.5,278.996373648147,289.66631985830105,47.49797580690756
4,9,4.5,312.155040842953,238.70509771433856,53.098865287879285
4,9,7.5,329.68365945565364,228.93151614879213,78.16901122924205
4,9,10.5,337.8294422040415,236.1253208016456,105.73165861099137
4,12,4.5,359.9019054278551,194.85714433720423,81.38647235900314
4,12,7.5,309.862478170659,228.09306792638435,88.6748477051741
4,12,10.5,322.11703941378386,221.5068788379582,88.04888396694385
5,3,4.5,4.714493005699398,38.85261324017687,46.268946573514015
5,3,7.5,235.19606202206205,240.42890072741804,0.3856048410990127
5,3,10.5,243.1464920092446,239.45774357756125,-2.65267999078576
5,6,4.5,237.48319744235434,236.41418975094686,90.3630680624451
5,6,7.5,279.3670046195574,265.56096492498847,18.035855775920307
5,6,10.5,271.693860364192,278.49748787926103,49.40086410299411
5,9,4.5,310.656300142083,229.76781848164532,58.30716954658102
5,9,7.5,332.1225774966951,220.2263111198103,82.17004340379535
5,9,10.5,342.5825251854655,237.5515432994649,101.95115770053123
5,12,4.5,357.9842664249853,196.38207946406962,79.3334708645046
5,12,7.5,321.5618174153129,221.29669311056225,84.4739250760888
5,12,10.5,324.7955383669595,221.71472692539464,88.41621182330023
6,3,4.5,4.714493002896493,38.85261323758957,46.26894657346009
6,3,7.5,235.19606202012136,240.42890072623192,0.3856048409642602
6,3,10.5,243.14649200654966,239.45774357659113,-2.6526799901389477
6,6,4.5,238.33309169263515,236.014509054606,90.32884385162431
6,6,7.5,279.330809281719,265.74683519591724,17.867322772090706
6,6,10.5,274.97001815130096,281.97333384756837,48.80092216046453
6,9,4.5,317.5724330353773,228.72012171031696,57.897676441914
6,9,7.5,329.1613001049244,218.11235247705935,77.46659397826004
6,9,10.5,339.2738472558397,232.43143418714413,97.49741474232022
6,12,4.5,352.56720492247285,198.17346471676012,79.88141156337763
6,12,7.5,317.1175292670631,222.1031757987201,78.48888446086872
6,12,10.5,324.4274052172885,221.57050338181642,85.93223191580698
