order,totaldegree,rcut,C11,C12,C44
3,3,4.5,4.714426000299054,38.83947754090103,46.2621473949437
3,3,7.5,235.207605909286,240.4577325750548,0.348701548021387
3,3,10.5,243.16646882060644,239.4771789351934,-2.6746325719811663
3,6,4.5,239.51971449695102,233.44110764327627,83.73434894158679
3,6,7.5,273.50302699764194,256.6135817995903,21.614596962288548
3,6,10.5,264.27328200002097,271.5024042265992,46.175339812024625
3,9,4.5,287.17592686223503,231.8719547952696,32.196520938016
3,9,7.5,327.18911181554176,236.62365475250354,64.28203962383519
3,9,10.5,340.87855550847246,239.13927250521886,87.51802278130349
3,12,4.5,357.10023518657596,197.3658246691593,76.32607660503672
3,12,7.5,313.3394896049029,234.11731416216173,95.5804513623418
3,12,10.5,330.850830170769,219.4277463084255,94.22285478288282
4,3,4.5,4.714425997280627,38.839477535187555,46.2621473941352
4,3,7.5,235.2076059134905,240.45773257969051,0.3487015464313077
4,3,10.5,243.166468822978,239.47717893627134,-2.6746325718464137
4,6,4.5,235.30427055626302,229.93915237006573,87.26339412658223
4,6,7.5,284.9716986327616,277.5070195591708,15.626146616230942
4,6,10.5,278.79816539698174,289.4422755126124,47.21085792501422
4,9,4.5,311.8530961157844,239.07722548889475,52.642249649092555
4,9,7.5,328.8574182363911,229.16125309691188,77.07725468688959
4,9,10.5,337.61967423708666,236.3755343175349,104.81821529656658
4,12,4.5,359.8678519216894,194.641432505491,81.28302140075476
4,12,7.5,309.5057172257935,228.1293085510269,89.38373257900287
4,12,10.5,322.30309961498864,221.39813198248345,88.38553266307613
5,3,4.5,4.714425993615246,38.83947753119877,46.262147394081275
5,3,7.5,235.20760591499976,240.45773258017567,0.3487015460809513
5,3,10.5,243.1664688311712,239.47717894160778,-2.6746325712265517
5,6,4.5,237.26928310995308,236.72439825555233,90.47721626704524
5,6,7.5,279.2508941937848,265.61750846317614,17.745358361920513
5,6,10.5,271.6364753460978,278.451897405788,49.11161251403236
5,9,4.5,310.378908315112,230.20856552544333,58.044621256593906
5,9,7.5,331.419786945262,220.50019140370898,81.35059085052315
5,9,10.5,342.2659983350838,237.53460006316504,100.6013585677229
5,12,4.5,357.60759329281257,196.23391900653513,79.21598596388597
5,12,7.5,321.37832413012677,221.36096567709347,84.74834905583656
5,12,10.5,325.2162483442318,221.52396060352456,89.06505717700423
6,3,4.5,4.714425998142991,38.839477540793204,46.26214739408128
6,3,7.5,235.207605914892,240.45773258190053,0.34870154780578305
6,3,10.5,243.166468827398,239.4771789383197,-2.674632572142869
6,6,4.5,238.117778354831,236.32210577848667,90.44038925152418
6,6,7.5,279.2026603054187,265.86349876142407,17.521312321692616
6,6,10.5,274.908473440632,281.92229355827624,48.50679427018137
6,9,4.5,317.80099091440536,229.1222045252472,57.6248506463927
6,9,7.5,328.5358161507093,218.3487390774943,76.75165698505653
6,9,10.5,339.4568020088915,232.52674781019468,97.51886845280883
6,12,4.5,352.2862877895661,197.34738191240308,80.11518483677665
6,12,7.5,316.4009322983991,222.34654475857337,79.50165425098137
6,12,10.5,324.8658528680844,220.97773850649543,85.36719534984398
