order,totaldegree,rcut,Lattice Constant
3,3,4.5,-3.10869128210623
3,3,7.5,-3.1693375262891714
3,3,10.5,-3.1778362658789274
3,6,4.5,-3.1850663647530992
3,6,7.5,-3.1852407631798294
3,6,10.5,-3.1852407631798294
3,9,4.5,-3.190457168593504
3,9,7.5,-3.190457168593504
3,9,10.5,-3.190457168593504
3,12,4.5,-3.190457168593504
3,12,7.5,-3.190457168593504
3,12,10.5,-3.190457168593504
4,3,4.5,-3.1192714248208966
4,3,7.5,-3.167254846069548
4,3,10.5,-3.1777284018772254
4,6,4.5,-3.185988401105203
4,6,7.5,-3.1903945390850867
4,6,10.5,-3.1903945390850867
4,9,4.5,-3.1903945390850867
4,9,7.5,-3.1903945390850867
4,9,10.5,-3.1903945390850867
4,12,4.5,-3.1903945390850867
4,12,7.5,-3.1903945390850867
4,12,10.5,-3.1903945390850867
5,3,4.5,-3.119210475968949
5,3,7.5,-3.167243962168278
5,3,10.5,-3.177727781041362
5,6,4.5,-3.186463012258587
5,6,7.5,-3.191301805628117
5,6,10.5,-3.191301805628117
5,9,4.5,-3.191301805628117
5,9,7.5,-3.191301805628117
5,9,10.5,-3.191301805628117
5,12,4.5,-3.191301805628117
5,12,7.5,-3.191301805628117
5,12,10.5,-3.191301805628117
6,3,4.5,-3.1200934201774007
6,3,7.5,-3.167400347467369
6,3,10.5,-3.17773664725766
6,6,4.5,-3.186292969946637
6,6,7.5,-3.1914323874778456
6,6,10.5,-3.1914323874778456
6,9,4.5,-3.1914323874778456
6,9,7.5,-3.1914323874778456
6,9,10.5,-3.1914323874778456
6,12,4.5,-3.1914323874778456
6,12,7.5,-3.1914323874778456
6,12,10.5,-3.1914323874778456
