order,totaldegree,rcut,Vacancy formation energy
3,3,4.5,-0.5618286071521652
3,3,7.5,-5.0069607150194315
3,3,10.5,0.5654154889352867
3,6,4.5,1.3151307485959478
3,6,7.5,0.47592186961082916
3,6,10.5,0.5087944567444538
3,9,4.5,2.0927180276116815
3,9,7.5,2.213304473028984
3,9,10.5,2.1959281549688967
3,12,4.5,2.4601009009811605
3,12,7.5,2.2182615293550043
3,12,10.5,2.2430732220100253
4,3,4.5,-0.561828607147163
4,3,7.5,-5.006960715022615
4,3,10.5,0.5654154889384699
4,6,4.5,1.0625255158552136
4,6,7.5,0.40093504186415885
4,6,10.5,0.4918377705871535
4,9,4.5,2.7434791288083034
4,9,7.5,2.3085643562621954
4,9,10.5,2.2422606441250537
4,12,4.5,2.8085969281501093
4,12,7.5,2.6600544874718253
4,12,10.5,2.7374543929513493
5,3,4.5,-0.5618286071476177
5,3,7.5,-5.006960715027162
5,3,10.5,0.5654154889416532
5,6,4.5,0.9918321489094524
5,6,7.5,0.3385710125262449
5,6,10.5,0.42510858822652153
5,9,4.5,2.8222731560586
5,9,7.5,2.171473138944293
5,9,10.5,2.1583972821308635
5,12,4.5,2.630708131047868
5,12,7.5,2.8089433617824398
5,12,10.5,2.7783148197454466
6,3,4.5,-0.5618286071562579
6,3,7.5,-5.006960715022615
6,3,10.5,0.5654154889416532
6,6,4.5,1.0479209956019986
6,6,7.5,0.33368621349609384
6,6,10.5,0.3910957922862508
6,9,4.5,2.781995827780065
6,9,7.5,2.3701211655043153
6,9,10.5,2.1996556984108793
6,12,4.5,2.5833668659975046
6,12,7.5,2.7549697588378876
6,12,10.5,2.7292489474248214
