order,totaldegree,rcut,C11,C12,C44
3,3,4.5,4.713452576640919,38.79627854218821,46.238534926685446
3,3,7.5,235.29673480614778,240.48305629996142,0.18847634364619212
3,3,10.5,243.21641444458479,239.47585461624396,-2.8506833830406704
3,6,4.5,239.54497156508862,233.3789848621018,83.68373491365003
3,6,7.5,273.7862753093964,256.76585706381036,21.747313421619246
3,6,10.5,264.34217142232467,271.7731047769687,46.57273740135949
3,9,4.5,287.0653075096093,231.92695138880683,31.94614920608866
3,9,7.5,327.0878016976188,236.6109305500504,64.1874798651152
3,9,10.5,340.8863533026765,239.19391800300662,87.42412399397263
3,12,4.5,356.44326476683324,197.80500103618542,76.47848376412016
3,12,7.5,313.21815044749803,234.27383826930964,95.86566026454834
3,12,10.5,331.30026065973175,219.24946902593706,94.2600891688362
4,3,4.5,4.713452576641106,38.79627854067917,46.238534925769144
4,3,7.5,235.29673480356035,240.48305629376264,0.18847634472421199
4,3,10.5,243.21641444814242,239.47585462389807,-2.850683383687484
4,6,4.5,235.47216953146432,229.95055451805771,87.21217452844697
4,6,7.5,285.975160637569,278.12086909702094,15.884649920828155
4,6,10.5,278.858361885606,289.7494252400466,47.490631773724544
4,9,4.5,311.95779784437894,239.29885024900048,52.436562556802095
4,9,7.5,328.76889766137384,229.13941856341495,76.87795483257993
4,9,10.5,337.5665580267932,236.50772110688993,105.06282025692438
4,12,4.5,360.4227119166832,194.68398825570313,81.77949833719782
4,12,7.5,309.79385521523614,228.10684079677,89.6675998504204
4,12,10.5,322.09905536691446,221.68006683019368,87.78021390809553
5,3,4.5,4.7134525757786365,38.79627854251176,46.23853492517621
5,3,7.5,235.2967348053932,240.4830562951104,0.18847634453555853
5,3,10.5,243.21641444846577,239.4758546247065,-2.850683384226494
5,6,4.5,237.44406449693474,236.76601285198305,90.41534193208703
5,6,7.5,280.1709186615823,266.1330682213756,18.130018259567223
5,6,10.5,271.834487731194,278.89725149289836,49.34609475075386
5,9,4.5,310.5839957069142,230.41794019605365,57.78157484512371
5,9,7.5,331.1795412848153,220.4733992390055,81.19235211651402
5,9,10.5,342.23752643266045,237.7126018166147,100.8696411953013
5,12,4.5,358.39404968558773,196.27746800799278,79.9396207013247
5,12,7.5,321.04983804603523,221.52637603910833,85.16116103922603
5,12,10.5,325.06171612331394,221.6893442328039,89.07996034292985
6,3,4.5,4.713452577072143,38.79627854100241,46.23853492684715
6,3,7.5,235.29673480442287,240.48305629527195,0.18847634475116254
6,3,10.5,243.21641444857346,239.47585462335888,-2.850683385412316
6,6,4.5,238.265873249787,236.36039340932152,90.38796634100592
6,6,7.5,280.121941362983,266.3831445107855,17.90144085420436
6,6,10.5,275.2498336169397,282.53268427981214,48.704545247436066
6,9,4.5,318.0290411133642,229.43523896654597,57.45188071304286
6,9,7.5,328.44048319746975,218.36077562247397,76.85669357765585
6,9,10.5,339.22333087771466,232.725621261147,96.79143363339212
6,12,4.5,353.61103430544006,198.17705907978365,81.31573825979027
6,12,7.5,316.99919564488556,222.2348128737487,79.72603544309915
6,12,10.5,325.64256481715597,221.2111729073809,85.11140909617043
