V_BCC,DeltaE_BCC,V_FCC,DeltaE_FCC
13.254453940756504,1.294027606542059,13.120413695999998,1.5068488781950329
13.895689905680426,0.8901875039767173,13.755164940688047,1.09194121437101
14.557280885114615,0.5765115987768326,14.410065352769683,0.7650092952192509
15.239544926160805,0.34328676846928197,15.085429762985424,0.5180385122842885
15.942800075920717,0.1795216367336927,15.781573002075804,0.34071048015620065
16.66736438149608,0.07432453375207082,16.498809900781342,0.22100551199482688
17.413555889988587,0.017470294236401784,17.23745528984257,0.14765789786847705
18.1816926485,0.0,17.99782400000001,0.11165741305301324
18.97209270413202,0.014890631306805346,18.780230861994177,0.10675308462048427
19.785074103986393,0.05726613246296708,19.584990706565602,0.12923560174346171
20.620954895164804,0.12404054685297083,20.412418364454822,0.1771713275885869
21.480053124768993,0.21334237204482775,21.262828666402346,0.24937596234269854
22.362686839900704,0.3239478211040101,22.136536443148714,0.3446209858516127
23.269174087661636,0.4547932202810223,23.033856525434405,0.46131839918808026
24.199832915153515,0.6046029945108113,23.955103744000006,0.5975275266454734
