order,totaldegree,rcut,mean_force_ms,median_force_ms,std_force_ms,mean_energy_ms,median_energy_ms,std_energy_ms
3,3,4.5,2.2526551176000527,1.2339353561401367,1.695716602663357,2.146487765842014,1.1124610900878906,3.2892918176480492
3,3,7.5,7.048563604001646,6.099939346313477,3.0377806912264425,4.619633268426965,3.957509994506836,2.3115743121144616
3,3,10.5,24.13940164777968,17.607569694519043,13.172712080994106,16.875595958144576,9.860873222351074,47.7684890731538
3,6,4.5,23.34679541764436,17.923951148986816,10.285772154707196,11.13590708485356,8.304595947265625,5.886246559317477
3,6,7.5,23.468021993283873,18.11087131500244,9.250564103538128,10.61915777347706,8.291959762573242,5.294418311189762
3,6,10.5,26.290795979676425,19.423365592956543,10.803888408398478,12.532767101570412,8.600592613220215,7.344871749350014
3,9,4.5,24.389306262687402,19.425511360168457,9.96492504377119,10.841421727780942,8.490562438964844,4.744803932663391
3,9,7.5,23.499573601616753,19.201993942260742,8.291599462702871,12.27141707031815,8.365988731384277,6.981131427429909
3,12,4.5,28.914853820094354,21.923542022705078,11.369255716276978,12.78533803092109,8.895516395568848,6.6165712538827615
3,12,7.5,28.15344775164569,22.284984588623047,10.210396049435131,11.180578337775337,8.881568908691406,4.313379808947341
4,3,4.5,22.068968967155175,15.673995018005371,9.681190878525603,10.348948725947627,7.333517074584961,4.58084231505562
4,3,7.5,20.44319709142049,15.741586685180664,8.208989397024771,10.116587744818794,7.364511489868164,5.031262825432935
4,3,10.5,20.84326214260525,16.141891479492188,7.449235986091336,9.977689495793095,7.428526878356934,5.453177246802571
4,6,4.5,21.146659939377397,16.638517379760742,8.467460111875356,10.53881115383572,7.619500160217285,4.623843677206534
4,6,7.5,21.534034499415643,17.005443572998047,6.804395210635341,10.472364337356002,7.679939270019531,6.275888613023651
4,6,10.5,24.562006526523167,17.88163185119629,9.4348327316264,12.382978421670419,8.051514625549316,6.787177031859579
4,9,4.5,23.21357285534894,18.811941146850586,7.197107166658626,11.233239262192338,8.11755657196045,6.629641488094459
4,12,4.5,26.90383240028664,22.07159996032715,8.241010497868224,11.864674974370885,8.834123611450195,6.592168052683017
5,3,4.5,21.852823981532342,15.671968460083008,9.084024043229304,10.341856214735243,7.305502891540527,4.88422529810477
5,3,7.5,20.85737078278153,15.827417373657227,7.798491240683879,10.3683074315389,7.371425628662109,6.022574612002606
5,3,10.5,21.011329580236364,16.188859939575195,8.624941926774923,9.992401246671323,7.495403289794922,4.33642712797818
5,6,4.5,22.20367325676812,17.78554916381836,8.684147892857192,10.898639537669995,8.029460906982422,6.045047736622223
5,6,7.5,23.335702330977828,17.72153377532959,8.519142939433026,10.82148861002039,7.863044738769531,5.971180953576976
5,6,10.5,23.876239635326243,17.693519592285156,9.83656261565005,11.424111878430402,7.9375505447387695,5.687450999806535
5,9,4.5,28.59838053032204,21.564960479736328,20.33775854157515,13.025931075767234,9.026527404785156,11.048328760445704
5,12,4.5,31.042657958136665,22.90964126586914,12.861639588414207,13.07974479816578,8.998513221740723,7.305582676434655
6,3,4.5,20.096305123081915,15.459537506103516,7.284250905251984,9.87522734536065,7.238030433654785,5.602518548045582
6,3,7.5,20.740986311877215,15.877962112426758,8.424042499337746,9.82586940129598,7.399559020996094,4.718028791131689
6,3,10.5,20.78548758118241,16.129612922668457,8.162988779090986,10.015053219265408,7.459402084350586,4.498360974606669
6,6,4.5,26.009107960595024,18.659114837646484,11.130306022309856,12.787350018819174,8.417487144470215,8.540047631129084
6,6,7.5,23.634232415093315,18.5319185256958,9.832191905338178,11.083058516184488,8.43358039855957,5.284374368621356
6,9,4.5,27.192626617572927,20.56252956390381,10.32195752802079,12.754591306050619,8.8120698928833,7.869406163456763
