order,totaldegree,rcut,basis_lenght,train_rmse_E,train_rmse_F,train_mae_E,train_mae_F,time_for_train
3,3,4.5,6,137.61276191765512,0.05196567875999463,113.0150193935392,0.022673373742826224,94.13595199584961
3,3,7.5,6,44.74311838047519,0.039243253447469255,34.99210436392983,0.022972487858259026,66.22598004341125
3,3,10.5,6,35.693948985308715,0.03004921885412557,23.65174780253869,0.019050124707474407,76.73811912536621
3,6,4.5,25,29.867884136469975,0.01850272046138649,16.49518907592006,0.010531113671755313,82.82030296325684
3,6,7.5,25,27.278642925142627,0.02107222498151464,15.54496983109166,0.01442519788175024,83.06283617019653
3,6,10.5,25,50.654731853036076,0.01910083638393414,26.884909526972372,0.013487182861192434,82.4528911113739
3,9,4.5,78,4.858263896026181,0.005562205471797343,2.855046375446949,0.003922284257414666,105.54538106918335
3,9,7.5,78,7.213115634334875,0.005924773672270682,4.453207288697843,0.00401937535906666,117.25497889518738
3,9,10.5,78,5.268003837746696,0.0061268897306841884,3.6776212418752063,0.004192390978041518,108.2863597869873
3,12,4.5,211,1.2566301067798988,0.002038660021117294,0.8394304147637834,0.0014330568694461557,183.04056215286255
3,12,7.5,211,1.7842821125392194,0.0011685679097880293,1.2884958378762488,0.0008696992697744923,180.32245707511902
3,12,10.5,211,1.3964797656793446,0.0013383349236350316,0.919132525682179,0.0009788301138850734,179.8677999973297
4,3,4.5,6,137.61276191765387,0.051965678759995276,113.0150193935381,0.022673373742826363,74.07137894630432
4,3,7.5,6,44.74311838047705,0.03924325344746911,34.992104363931915,0.02297248785825897,78.20333504676819
4,3,10.5,6,35.69394898530994,0.030049218854125533,23.651747802539656,0.019050124707474397,75.45380520820618
4,6,4.5,29,29.730621670462693,0.017861988520731634,15.548241253471863,0.010494969687051806,83.94986295700073
4,6,7.5,29,31.94892283998822,0.020441167186118412,18.334474507578957,0.014068404481043835,82.8738420009613
4,6,10.5,29,50.75201611176508,0.018393469940623165,27.51226453649691,0.012948527984887048,86.96141600608826
4,9,4.5,104,4.48302531555961,0.0042380186169800275,2.755555100687176,0.003053290820642271,109.55846095085144
4,9,7.5,104,1.8631308175223882,0.003995034703914481,1.6154412628732537,0.0027721800019236366,110.66928505897522
4,9,10.5,104,2.1637252832996587,0.003472259412711633,1.7097586057171739,0.002420185238303532,108.80405688285828
4,12,4.5,338,1.096273386474942,0.0016055197333031195,0.63724020955792,0.0011694466839841052,272.4645850658417
4,12,7.5,338,0.5050058987232444,0.0005413523795462789,0.3611041542682759,0.0003917721426411546,267.59444189071655
4,12,10.5,338,0.4720593588178688,0.0005809280017756162,0.34608071429459936,0.00042264436269469097,270.6700439453125
5,3,4.5,6,137.61276191765515,0.05196567875999518,113.01501939354019,0.022673373742826377,78.7230978012085
5,3,7.5,6,44.74311838047567,0.03924325344746918,34.99210436393068,0.02297248785825901,80.08221888542175
5,3,10.5,6,35.69394898530844,0.030049218854125554,23.651747802539273,0.01905012470747439,78.39477705955505
5,6,4.5,31,29.508802745507516,0.01765796291364222,15.21483649338442,0.01055667004279526,90.53989720344543
5,6,7.5,31,28.41633125801241,0.020131548404687047,17.231308537964225,0.013833215710317164,86.44386792182922
5,6,10.5,31,49.00080105948046,0.018421448111652226,26.330303062912005,0.012969327717798799,87.75551104545593
5,9,4.5,119,3.630207587783551,0.0037139786449839206,2.168205614330378,0.002656428718751391,122.4740240573883
5,9,7.5,119,1.9297419412347399,0.0033788829209884896,1.5262158740092715,0.002249321621086699,120.64568209648132
5,9,10.5,119,2.001737319697861,0.003002554697857157,1.660119452661777,0.0020382311307245806,121.37801194190979
5,12,4.5,423,0.8688592989130873,0.0014622615646994925,0.49869039968654005,0.0010684220829731985,312.5995979309082
5,12,7.5,423,0.4850868221521124,0.00036579270275849634,0.33915031641921933,0.00026602782636110645,308.12576389312744
5,12,10.5,423,0.5340295677294888,0.0003973377884645259,0.3635488401919124,0.0002911605366358953,308.5709409713745
6,3,4.5,6,137.61276191765447,0.0519656787599952,113.0150193935387,0.02267337374282639,75.83209180831909
6,3,7.5,6,44.743118380474996,0.0392432534474692,34.992104363930196,0.022972487858259012,75.521311044693
6,3,10.5,6,35.6939489853089,0.030049218854125558,23.651747802539013,0.0190501247074744,76.30148911476135
6,6,4.5,32,28.62353464919856,0.017587904742065195,14.741078147033848,0.010557529250290973,91.32831716537476
6,6,7.5,32,28.55760433024293,0.02012833707613001,17.296191476580002,0.01382552503328031,86.81640887260437
6,6,10.5,32,48.96152100927844,0.018357204281581954,26.3251650598671,0.012887343681983646,86.40218210220337
6,9,4.5,127,2.800886414146415,0.0034791798224231936,1.953392177517847,0.002505514236993105,121.67026877403259
6,9,7.5,127,1.7793413296567542,0.0030863870494462287,1.0332670355148128,0.0020433569187849887,119.10520195960999
6,9,10.5,127,3.001933963679701,0.0028689664769447672,1.9835729325326563,0.0019159484282751888,123.85042691230774
6,12,4.5,473,0.9115047327974617,0.0014042270324685717,0.5640668928429303,0.001029193148894792,340.7964770793915
6,12,7.5,473,0.2938628937788406,0.00028895482504496704,0.201939800074385,0.0002073379398710033,341.15632915496826
6,12,10.5,473,0.6652542244214753,0.0003776782093892199,0.44197096633718563,0.0002745718221982609,333.290962934494
