order,totaldegree,rcut,basis_lenght,train_rmse_E,train_rmse_F,train_mae_E,train_mae_F,test_rmse_E,test_rmse_F,test_mae_E,test_mae_F,validation_rmse_E,validation_rmse_F,validation_mae_E,validation_mae_F,time_per_force_ms,time_per_energy_ms,time_for_train
2,3,4.5,5,5.509907009617991,0.21078644029456922,4.497343562767511,0.16109914339845918,6.45215510067842,0.2268318386767777,5.068775329977543,0.16921801707099843,5.074870052211305,0.20698326305145123,4.316478615757516,0.16042331147743538,1.4246361255645752,0.6540381908416748,496.29992485046387
2,3,7.5,5,8.23835585994442,0.2088611893459176,6.548459433947802,0.1653102726121479,9.705175769114586,0.22066392241199953,7.054717286473924,0.17336118294690686,8.417459595222908,0.21101532345221066,6.805931061083648,0.16682479169747716,8.289764881134033,3.3988280296325684,466.0816431045532
2,3,10.5,5,9.091297040087147,0.20890603499077115,7.19420295831503,0.16613639127685173,10.375830027465268,0.21687904485114445,7.785011541200184,0.1718207679877682,9.25561845917419,0.21065071623721948,7.525943979532339,0.16711283169351887,21.771085023880005,10.03738284111023,475.23650217056274
2,6,4.5,17,1.481016547737493,0.05903032678649454,1.0588107503734607,0.04452174862793452,2.0314404104855743,0.06364792239132006,1.3344857276433686,0.04710679255914045,1.357680771271938,0.05819805311351384,0.9572587341526291,0.04384327747678232,22.01527190208435,9.743695974349976,479.2916851043701
2,6,7.5,17,1.182474060066113,0.054224783284630235,0.8653335620441888,0.040371378893193234,1.441862814563402,0.0571074926576002,0.9413021655088608,0.041623625092152526,0.8919599446364652,0.05311513848791182,0.6569636952058626,0.03897610965650508,22.643030881881714,9.78504991531372,475.9645850658417
2,6,10.5,17,0.901436490790607,0.037575775992393236,0.617003410053702,0.027578707237877257,0.9506980162408415,0.04022696472884491,0.6274159756975806,0.02903925602651344,0.8845601785210896,0.03681737653657363,0.6185604682993191,0.026668885860780353,22.89313507080078,10.052196025848389,483.0246970653534
2,9,4.5,40,0.3873462457655495,0.019112599714987282,0.273756066932193,0.013648818705319761,0.3931451677549592,0.021052989587159544,0.276947968967131,0.014691204193573061,0.3012253859275972,0.0182749176472588,0.225542953401033,0.013003219345133599,25.514025926589966,10.750319004058838,497.58561301231384
2,9,7.5,40,0.49886209286133415,0.02374217359320838,0.3631698022458589,0.017505031135700833,0.5863788795664818,0.026372569637874363,0.3851819857134231,0.018779904520387757,0.4552873680799739,0.022891856142878614,0.335749896681925,0.016940660782325978,25.71897602081299,10.658399820327759,490.996160030365
2,9,10.5,40,0.4133033149867415,0.02095969534077454,0.29648557114775276,0.015404534189653521,0.5117782389716895,0.022991985457936556,0.3478932860102309,0.016493140142279174,0.4100378737477017,0.020301955382305132,0.2860336907515896,0.014761837864651297,26.285475969314575,10.799136877059937,498.159029006958
2,12,4.5,79,0.30016192152380283,0.014774054734288397,0.20710086921395512,0.010516168638023059,0.2868597777986573,0.01653568327810892,0.20204303228577913,0.011426041044338751,0.2729346069141995,0.014104773426812172,0.19420510930396873,0.010024822355889421,29.239153146743774,11.034946918487549,517.4608058929443
2,12,7.5,79,0.2819723699133655,0.015359471321709811,0.19954039596850626,0.010873294494834231,0.34128359392828717,0.01752645639656711,0.222392401317452,0.0120717367030124,0.29188932152335284,0.014594353617768256,0.21326678057776624,0.010265802715590858,28.876072883605957,11.019649028778076,517.385822057724
2,12,10.5,79,0.2801083718149594,0.015131030782483254,0.20123441628577945,0.010720453459495816,0.35058977612858233,0.01762594168899908,0.2250973825145408,0.011930723870644873,0.23417664945653688,0.014542902470185415,0.181190659421245,0.010262328415802024,29.843419075012207,11.321162939071655,521.064043045044
