V_BCC,DeltaE_BCC,V_FCC,DeltaE_FCC
11.810069974944003,1.3212555030427655,12.106890281250001,1.2175991561076138
12.381428225540484,0.9393584591069573,12.69260837317784,0.8992428660457552
12.970923333889221,0.6686969779954755,13.29691915315233,0.6587483811407875
13.57883868839259,0.4392866379542202,13.920113131924195,0.44930606417698016
14.205457677452976,0.2465186481566004,14.562480820244167,0.28059508903682406
14.851063689472754,0.10613963165556228,15.224312728862985,0.162714729935038
15.5159401128543,0.025373083971519605,15.90589936853134,0.09438381144287789
16.200370336000006,0.0,16.607531250000005,0.07289691627235406
16.904637747312233,0.021975899429833134,17.32949888401968,0.09633292739107269
17.629025735193387,0.0856863581919125,18.072092781341123,0.1614791737434409
18.37381768804581,0.1885804848187611,18.835603452715002,0.26373984463978495
19.13929699427191,0.3290283033189976,19.620321408892117,0.39903096927045745
