V_BCC,DeltaE_BCC,V_FCC,DeltaE_FCC
13.45576839515622,0.4842499931110211,13.793949735749992,0.496557791340976
13.79601329018901,0.36534005861942376,14.142745942856031,0.38962262965590355
14.141946038422393,0.2625205429208535,14.497372954926103,0.2986006089088704
14.493613788601827,0.17683487072621062,14.857879105686361,0.22254505066969443
14.851063689472747,0.10844669887396208,15.22431272886297,0.16113556896947046
15.21434288978061,0.057050264188603705,15.596722158182063,0.11444717140201988
15.583498538270842,0.022201580611280747,15.9751557273698,0.0827285302522256
15.958577783688904,0.0034352367156316177,16.35966177015234,0.06620756525310867
16.339627774780247,0.0,16.75028862025583,0.06493852665643374
16.726695660290297,0.010937903335182853,17.147084611406413,0.0787001686089539
17.11982858896453,0.03522419194635518,17.55009807733027,0.10694970212975363
17.51907370954838,0.0719793303883236,17.959377351753524,0.1488323152539941
17.924478170787264,0.12051471471088604,18.374970768402328,0.20324140120400003
18.33608912142666,0.18035323958206817,18.796926661002864,0.26892045579386803
18.753953710212006,0.2512428676510119,19.22529336328126,0.3445940661623652
