V_BCC,DeltaE_BCC,V_FCC,DeltaE_FCC
13.45576839515622,0.20577329927139942,13.793949735749992,0.17384065579680907
13.79601329018901,0.13503551068193076,14.142745942856031,0.10444536566707541
14.141946038422393,0.0763072381211174,14.497372954926103,0.07361335510201172
14.493613788601827,0.03161143538746103,14.857879105686361,0.07009561361935823
14.851063689472747,0.004653737678257386,15.22431272886297,0.08588648253920894
15.21434288978061,0.0,15.596722158182063,0.1166705478327259
15.583498538270842,0.022079457064890562,15.9751557273698,0.16178327900128409
15.958577783688904,0.07386177741778965,16.35966177015234,0.2236744390072687
16.339627774780247,0.15513810521044036,16.75028862025583,0.30691762712503134
16.726695660290297,0.2628306221747039,17.147084611406413,0.41686311355870487
17.11982858896453,0.3943532201114124,17.55009807733027,0.5580791858418053
17.51907370954838,0.5476635170560087,17.959377351753524,0.7327646934145235
17.924478170787264,0.7212667974178544,18.374970768402328,0.9393382636401242
18.33608912142666,0.9141748258262794,18.796926661002864,1.1714148306430872
18.753953710212006,1.1257898616181734,19.22529336328126,1.4173661405223896
