order,totaldegree,rcut,basis_lenght,train_rmse_E,train_rmse_F,train_mae_E,train_mae_F,time_for_train
3,3,4.5,6,137.58874211489126,0.05190246544419521,113.0029566090283,0.022633695289785257,125.8309440612793
3,3,7.5,6,44.77434100839273,0.0391886699054718,34.998820371582056,0.02295739286538237,138.05256414413452
3,3,10.5,6,35.7390869164231,0.030030777432047635,23.671175257231504,0.019008990353622923,165.47999095916748
3,6,4.5,25,29.957753868192196,0.018502485965984843,16.532166485242865,0.010535721547306785,174.74520802497864
3,6,7.5,25,27.326187826963707,0.021128991309934453,15.583096334532454,0.014447816063068483,176.83156299591064
3,6,10.5,25,50.35448453385375,0.019164195162482696,26.755818624896367,0.01351798926415578,176.50032806396484
3,9,4.5,78,4.863152720156918,0.005556232788192659,2.8534427102346074,0.00391647153975756,223.99187898635864
3,9,7.5,78,7.1585051603396295,0.005912539457999329,4.432960333747112,0.004008856495504553,220.00683307647705
3,9,10.5,78,5.160964153861713,0.006125693102051332,3.631670600302309,0.004190267036161829,220.2488329410553
3,12,4.5,211,1.2699537174444073,0.002040162032628703,0.8569428999138928,0.0014361748664402786,378.50363397598267
3,12,7.5,211,1.7969358412165026,0.001174445659435438,1.292440712283637,0.0008730256436424691,376.29521918296814
3,12,10.5,211,1.4106298173300962,0.0013402679933012835,0.9245173052148923,0.0009817549713943838,372.2956578731537
4,3,4.5,6,137.5887421148918,0.05190246544419402,113.00295660902825,0.022633695289784903,156.03833293914795
4,3,7.5,6,44.77434100839588,0.03918866990547187,34.998820371583925,0.022957392865382474,157.12962293624878
4,3,10.5,6,35.739086916422174,0.030030777432047684,23.671175257230495,0.01900899035362291,157.19997811317444
4,6,4.5,29,29.876733812432946,0.017853205434518134,15.668943675621104,0.010495637399482807,172.59697604179382
4,6,7.5,29,32.11152025918249,0.020519608575977722,18.3758667134814,0.014110417356956737,174.6409170627594
4,6,10.5,29,50.47985595585519,0.01843922053564184,27.385757509984348,0.012965533167957196,175.08948516845703
4,9,4.5,104,4.514904875468061,0.00424075536819561,2.78515119518873,0.0030546464174764478,228.38167095184326
4,9,7.5,104,1.8539298917810012,0.003997892818170827,1.6070832239051056,0.0027734581339913713,229.9651780128479
4,9,10.5,104,2.166802902892014,0.0034712551087911054,1.7203527142105703,0.002417290926887071,230.15369510650635
4,12,4.5,338,1.127264236834275,0.0016062295876742793,0.6409655311414273,0.0011677092572268354,551.9175209999084
4,12,7.5,338,0.5020214449254337,0.0005455895542299582,0.34843442031636096,0.0003932555868312003,545.6736071109772
4,12,10.5,338,0.49709799262001186,0.0005815377565075616,0.3590656284096948,0.00042225963089197687,550.5181801319122
5,3,4.5,6,137.58874211489115,0.0519024654441945,113.00295660902772,0.02263369528978515,155.6780710220337
5,3,7.5,6,44.77434100839763,0.039188669905471735,34.99882037158598,0.022957392865382398,154.93003916740417
5,3,10.5,6,35.73908691642208,0.03003077743204766,23.671175257231116,0.01900899035362291,154.66511178016663
5,6,4.5,31,29.6502985172374,0.017652930787939083,15.29980012801626,0.010551950320129863,176.33491611480713
5,6,7.5,31,28.549080683318888,0.020208294205537897,17.268620272086352,0.013868294773788412,175.10276007652283
5,6,10.5,31,48.742836693079425,0.018464166110228466,26.19832458870738,0.01297287514741441,177.2212381362915
5,9,4.5,119,3.633965065728111,0.003710449543994575,2.1760291128936475,0.002655179460012732,241.06914710998535
5,9,7.5,119,1.983346250927523,0.003381076787913092,1.5553713425326965,0.002250752149274897,243.5867419242859
5,9,10.5,119,1.9767840359196258,0.0030011962204676878,1.6463464909444474,0.002038201097001456,241.71346402168274
5,12,4.5,423,0.8834446949562668,0.0014668788460002592,0.49392916503425294,0.0010708347439445146,646.5223870277405
5,12,7.5,423,0.48039733893490716,0.0003704075431141562,0.33350031638989075,0.000268603694479576,640.3322839736938
5,12,10.5,423,0.5437621125709903,0.0003995050566107815,0.3689461128089907,0.00029177236774390476,643.1735410690308
6,3,4.5,6,137.58874211489206,0.051902465444194565,113.0029566090279,0.02263369528978511,157.87640595436096
6,3,7.5,6,44.7743410083957,0.03918866990547169,34.9988203715849,0.022957392865382377,157.3386688232422
6,3,10.5,6,35.739086916423645,0.03003077743204764,23.671175257231535,0.019008990353622898,158.02306580543518
6,6,4.5,32,28.73691621575951,0.017580490483624516,14.796320246838302,0.010553716050810543,182.1848750114441
6,6,7.5,32,28.688512798192956,0.02020511635244292,17.3325235108461,0.013860703615971538,180.8066530227661
6,6,10.5,32,48.6964803233863,0.01840509823699483,26.194264204239346,0.012896323348168943,180.69528889656067
6,9,4.5,127,2.8053915001208645,0.0034729842677219927,1.9628054588431672,0.002499709990441975,247.16385197639465
6,9,7.5,127,1.7779958699344127,0.0030923592647696756,1.0496777171215101,0.002045154605407703,249.9850549697876
6,9,10.5,127,2.988812735877862,0.002854028075940111,1.9693406952902004,0.0019118297674206317,253.9961700439453
6,12,4.5,473,0.9324688721002724,0.001411409257637852,0.5766185314825181,0.001033171573203701,692.7136640548706
6,12,7.5,473,0.30049079259139133,0.0002907048649332741,0.20259505219065824,0.00020809754710810654,695.1431200504303
6,12,10.5,473,0.6509911831461147,0.0003930870956592617,0.42245847434009176,0.0002857221125535407,692.7662830352783
